論理表現Ⅰ2
論表Ⅰ(習熟度)2
論理表現Ⅱ2
論理表現Ⅲ3
英会話（ｵﾝﾗｲﾝ）1
英語ｺﾐｭⅠ3
英語ｺﾐｭⅠ演習1
英語ｺﾐｭⅠALT&JT
英語ｺﾐｭⅡ3
英語ｺﾐｭⅡALT&JT
英語ｺﾐｭⅡ4
英語ｺﾐｭⅢ4
英語ｺﾐｭⅡ演習1
英語（特進選択）3
◇土曜 １～３限
放課後2外(仏/中)1
中1英語A3
中2英語A3
中3英語A3
中1英語B1
中2英語B1
中3英語B1
中1英語C2
中2英語C2
中3英語C2
中3英語C2(習熟度)
中学数学4
中学数学演習1
数学Ⅰ4
数学Ⅰ3
数学A2
数学Ⅱ4
数学B3
2年選国/数B2
数学Ⅲ4
数学C2
3年選数C/文探2
3年選択日世地数Ⅲ4
3年特進・選数C/選国2
中1技術/家庭・隔週2
中2技術/家庭・隔週2
中3技術/家庭(隔週）1
家庭基礎2
中1美術(毎週)1
中1音楽(毎週)1
中1音/美（隔週）1
中2美術1
中2音楽1
中3美術1
中3音楽1
書道Ⅰ2(12組)
書道Ⅰ3(3年ｽﾎﾟ)
音/美/書2
音楽Ⅰ2
◆中1体育3ｺﾏ3人2ｸﾗｽ
◆中2体育3ｺﾏ3人2ｸﾗｽ
◆中3体育3ｺﾏ3人2ｸﾗｽ
◆体育2ｺﾏ2人2ｸﾗｽ
◆体育（1特）2ｺﾏ2人
◆体育2ｺﾏ3人2ｸﾗｽ
◆柔道/弓道（総・特)
◆体育/弓道(ｽﾎﾟ)1
◆体育3ｺﾏ3人2ｸﾗｽ
保健1
合同体育(教室)
情報Ⅰ2
中学理科4
中学理科5
物理基礎2
化学基礎2
生物基礎2
化学4
化学2
政治経済3
化学1(兼)
物理/生物6
2年選択・化学(水8)
中学地理3
中学歴史4
中学公民4
公共2
歴史総合2
2年選択日単3(1組)
2年選択日/世3
2年選択日/世/化3
地理総合2
2年特進選択日/世3
倫理2
日本史探究3(2年ｽﾎﾟ)
3年選択日単（1組）
3年選択日/世4
地理探究3(ｽﾎﾟ)
地理探究4(単独)
日本史探究3(3年ｽﾎﾟ)
放課後・地理/政経
中1国語4
中2国語4
中3国語4
中2国語演習1
現代国語2
言語文化1
言語文化2
言語文化3
論理国語2
論理国語3
古典探究2
古典探究3
2年選択国語(単独3組)
文学探究2
拡大選択A
拡大選択B
中1特別活動(学活)
中2特別活動(学活)
中3特別活動(学活)
中1総合学習
中2総合学習
中3総合学習
中1道徳1
中2道徳1
中3道徳1
LHR1年
LHR2年
LHR3年
総進一貫1年総合的な
総進2年総合的な探究
総進3年総合的な探究
特進・総合的な探究
ｽﾎﾟ進・総合的な探究
数B(単独)2
